date,text,sentiment
2018-07-30 23:40:15,"RT @joaoassi2: #mariellepresente, não só quando convém! https://t.co/na0za92gFx",1
2018-07-30 23:31:31,"RT @joaoassi2: #mariellepresente, não só quando convém! https://t.co/na0za92gFx",1
2018-07-30 23:30:52,"#mariellepresente, não só quando convém! https://t.co/na0za92gFx",1
2018-07-30 23:14:22,"RT @abdalafarah: Hoje Marielle Franco completaria 39 anos de idade...

Sua vida, carreira e lutas foram interrompidas violentamente com vár…",1
2018-07-30 23:12:12,"RT @alinecpiva: 29 congressistas estadunidenses, incluindo @SenSanders, enviaram hoje uma carta ao governo brasileiro pedindo #Lulalivre e…",
2018-07-30 23:12:04,"RT @homofobiaNAO: 13 8 dias se passaram.. Quem matou Marielle? Que mandou matar Marielle e Anderson?
#MarielleFranco #mariellepresente #Som…",1
2018-07-30 22:28:50,"RT @paulomourajr: 138 dias.
4 meses e 16 dias.
138 dias sem Marielle Franco.
Quem matou Marielle Franco e Anderson Gomes?
Quem mandou matá-…",1
2018-07-30 22:09:14,Cadê as bocas de gamela que ficavam gritando #MariellePresente? Uma estudante de medicina não faz parte da lista de… https://t.co/qN7B2UyuF5,0
2018-07-30 20:00:48,RT @depulyssesgomes: Hoje Marielle completaria 39 anos de idade. As perguntas permanecem: Quem? Por quê? #MarielleVive #MariellePresente ht…,1
2018-07-30 19:45:30,"RT @paulomourajr: 138 dias.
4 meses e 16 dias.
138 dias sem Marielle Franco.
Quem matou Marielle Franco e Anderson Gomes?
Quem mandou matá-…",1
2018-07-30 19:42:44,"138 dias.
4 meses e 16 dias.
138 dias sem Marielle Franco.
Quem matou Marielle Franco e Anderson Gomes?
Quem mandou… https://t.co/X7JzjejIlX",1
2018-07-30 19:21:53,"RT @MarceloACoelho1: Povo na rua contra o
#PSDBpatriaEspancadora
Temer
Aécio
Dória
Pezão
Intervenção militar
""denunciar policiais que comet…",
2018-07-30 18:57:19,"139 dias. 
Quem matou Marielle e Anderson?
Quem mandou matar Marielle? #MariellePresente",1
2018-07-30 18:48:55,"RT @MarceloACoelho1: Povo na rua contra o
#PSDBpatriaEspancadora
Temer
Aécio
Dória
Pezão
Intervenção militar
""denunciar policiais que comet…",
2018-07-30 17:33:41,RT @renatasouzario: Marcha ao lado das mulheres negras que mais respeito e admiro. Dia de luta com quem realmente está ao nosso lado na lut…,1
2018-07-30 14:40:23,No jornal uruguaio. #QuemMatouMarielle #QuemMandouMatarMarielle https://t.co/uKHF3ibZnA,
2018-07-30 14:19:37,"RT @paulomourajr: 137 dias.
4 meses e 15 dias.
137 dias sem Marielle Franco.
Quem matou Marielle Franco e Anderson Gomes?
Quem mandou matá-…",1
2018-07-30 13:47:22,"RT @ManuelaDavila: #ManuAoVivo: ""Quando dizemos #LulaLivre e #MariellePresente, estamos falando muito sobre o que ocorre em todo país atual…",1
2018-07-30 13:43:36,"Ouvi mt: ""Isso de #QuemMatouMarielle é moda. Daqui a pouco vcs esquecem ela.""
Quase 4 meses e mais uma manhã eu me… https://t.co/PAVoA5ucmI",0
2018-07-30 13:06:39,"RT @calu_barros: Feliz aniversário Marielle.
Ainda aguardamos por justiça.
#QuemMatouMarielle https://t.co/B9Gmdjg8l7",1
2018-07-30 12:24:30,Quem matou Marielle? Quem mandou matar Marielle? A família de #MarielleFranco tem uma mensagem! via @anistiabrasil… https://t.co/fE0bGkAGQY,1
2018-07-30 12:20:12,"E ontem foi dia da Marcha das Mulheres Negras no Rio!

“Pela Vida do Povo Preto e por Mulheres Negras no Poder”… https://t.co/ii8H8TDHga",1
2018-07-30 11:53:34,#mariellepresente em Rivalzinho https://t.co/Be5n6mx079,
2018-07-30 11:33:27,"RT @homofobiaNAO: 13 8 dias se passaram.. Quem matou Marielle? Que mandou matar Marielle e Anderson?
#MarielleFranco #mariellepresente #Som…",1
2018-07-30 11:07:31,"RT @homofobiaNAO: 13 8 dias se passaram.. Quem matou Marielle? Que mandou matar Marielle e Anderson?
#MarielleFranco #mariellepresente #Som…",1
2018-07-30 10:59:43,Só pra registrar o fim de julho e as inspirações pro início de agosto... #ForaTemer #LulaLivre #QuemMatouMarielle… https://t.co/1P7nt4pg1l,
