id;text;sentiment
1;"@caprichOreality Fica assim não miga &lt;3 Tudo se arranja, que seja o que Deus quiser :)";1
2;Parti me todo a descer a avenida de Gaia com o skate :);1
3;Amanhã é dia de dar um trato na palestra para o  #TheDevConf, ajustes finais :-);1
4;@thankovsky @patorebaichado eu também tenho :) posso sentar com vocês?;1
5;ok. Sim. Aham. Tá. De boa. Vai lá. :) https://t.co/1ye8O8xDRh;1
6;@Mancel_Mazi Bila brao go firsetek çêbú serçava :);1
7;@JoseAbrantes6 Prefiro amar o meu clube nas vitórias e ainda mais quando nao ganhamos :) SL;1
8;@Bel_Reedus Recomendamos que vá até uma loja Claro. Acesse o site https://t.co/PfmtRZQ0od  e confira qual a loja mais próxima pra você! :);1
9;"@CrizArtEX @_GlitchMC @SirZeusMCPE @cesargohanss2 :)
Muito feliz por fazer parte dessa lista
Espero que a cada dia… https://t.co/mlAbPonv0R";1
10;@peace2who jbg, sad ce ispasti da sam tracara :);1
11;@pudimparfait BEM VINDA AO CLUBE :);1
12;"@me_catarinaa Bota que tem 
E adorei o ava :)";1
13;@gabiifreeiitas @b_maybarbosa Quando a may nao coloca comida pra mim e a gabi coloca :);1
14;"Se eu vos digo ""és parvo"" , ""não gosto de ti"" , entre outras é porque curto de vocês, por isso valorizem :)";1
15;@gabbs_f05 Melhor bum... Personagem do game :);1
16;Finalmente sou o meu true self fartei-me das bolas :);1
17;@drifeatpoynter estou te dando atenção :);1
18;@chico_the_boss @bah2310 @CarolinaMoutin Fofos :);1
19;Já me começaram a cair lágrimas, boa. :);1
20;@brozao_6 @bah2310 @CarolinaMoutin Fofo es tu princesa :);1
21;E chegou ao fim!! Um breve resumo do BEDA :) Gostei muito de fazer os posts todos dias este mês. Foi um mês... https://t.co/SsP0zidtU4;1
22;como você também não é obrigado a achar meus ídolos lindos!! mas todos são merecidos de estar aonde estão agora :);1
23;A puta morreu :);1
24;@CarolinaMoutin @chico_the_boss @bah2310 Daquele escroto? Que fofo :);1
25;@DuDuarte11 @diinhaa28 hahaha muito obrigado!! ♥ :);1
26;todo mundo que fez bullying comigo virou otaku nerd :);1
27;To tri feliz! Me dei uma cafeteira de presente :);1
28;@RafaelalveSilva mas o senhor sumiu no segundo tempo...veio zoar no final do primeiro, e picou a mula! :);1
29;@asulado aqui gostam mais de pevides, mas o mano hoje comprou e eu é que comi o que ficou :);1
30;@LuckyTiago já ta com vergonha deles.. se sim venci mais uma batalha fazer um petista odiar o pt e o negar publicamente :);1
31;Acordei só pra postar esse textão, que começou no meu Twitter e acabou no blog. Bora discutir sobre! :) https://t.co/vjEjaNddO4;1
32;Adoro ficar para segunda opção :);1
33;O fone que eu catei da minha amiga parou de funcionar um lado ahsushsushus acho que já tá na hora de eu devolver para ela :);1
34;Sou a solidão em pessoa :) https://t.co/MxMFZOx2i7;1
35;É bem confortável :) https://t.co/U9IbP17svX;1
36;"Partiu pegar estrada :)
#BomFeriadão";1
37;Festejando :) (@ COMICX in Durango w/ @dave_sepco7) https://t.co/wn67y8Ltnq;1
38;@cellbinhalover foi no mercado livre amor :);1
39;Ajudem o men o pt god que esta quase a kitar um dos melhored hgzeiros :) https://t.co/o4NNxjfiFI;1
40;Vcs tiram me a paciência muito rápido :);1
